,fridge,dish washer,light,microwave,electric oven,sockets,electric space heater,electric stove
1970-01-26 00:00:00-05:00,197.89488,0.12412509,0.0,0.0,74.944695,0.027839646,271.25253,0.0
1970-01-26 00:01:00-05:00,198.81862,0.13239884,0.0,0.0,77.39382,0.029068738,273.0754,0.0
1970-01-26 00:02:00-05:00,198.24408,0.13450772,0.0,0.0,61.041954,0.035578936,277.35556,0.0
1970-01-26 00:03:00-05:00,198.8072,0.13782659,0.0,0.0,60.59439,0.030585214,282.00995,0.0
1970-01-26 00:04:00-05:00,199.67705,0.1387671,0.0,0.0,64.11039,0.020677254,291.7518,0.0
1970-01-26 00:05:00-05:00,200.4294,0.14294913,0.0,0.0,72.22969,0.030865088,297.4909,0.0
1970-01-26 00:06:00-05:00,199.60947,0.14555511,0.0,0.0,69.17975,0.025365591,299.91174,0.0
1970-01-26 00:07:00-05:00,198.19255,0.14687572,0.0,0.0,68.63765,0.009906679,298.2004,0.0
1970-01-26 00:08:00-05:00,198.78792,0.1514584,0.0,0.0,66.33982,0.0,296.4603,0.0
1970-01-26 00:09:00-05:00,199.08455,0.1549665,0.0,0.0,64.52224,0.0,298.62738,0.0
1970-01-26 00:10:00-05:00,197.87044,0.16205922,0.0,0.0,62.26223,0.0,301.9448,0.0
1970-01-26 00:11:00-05:00,197.91975,0.1714837,0.0,0.0,60.22206,0.0,300.37802,0.0
1970-01-26 00:12:00-05:00,197.02997,0.1801718,0.0,0.0,53.391663,0.0,297.27878,0.0
1970-01-26 00:13:00-05:00,197.1671,0.18909478,0.0,0.0,43.629646,0.0,289.8632,0.0
1970-01-26 00:14:00-05:00,195.20436,0.20081154,0.0,0.0,51.702248,0.0,283.04938,0.0
1970-01-26 00:15:00-05:00,195.25914,0.20781875,0.0,0.0,54.950874,0.0,281.84802,0.0
1970-01-26 00:16:00-05:00,196.38156,0.19924867,0.0,0.0,58.27059,0.0,279.08142,0.0
1970-01-26 00:17:00-05:00,196.51056,0.19376963,0.0,0.0,58.95777,0.0,276.20453,0.0
1970-01-26 00:18:00-05:00,194.54941,0.18233225,0.0,0.0,62.927483,0.0,278.89175,0.61305237
1970-01-26 00:19:00-05:00,194.0257,0.17918241,0.0,0.0,57.94468,0.0,285.85394,0.0
1970-01-26 00:20:00-05:00,195.95805,0.18466729,0.0,0.0,54.771667,0.0,289.9594,0.008834839
1970-01-26 00:21:00-05:00,198.13959,0.19086656,0.0,0.0,68.985176,0.0,296.9702,1.2614594
1970-01-26 00:22:00-05:00,202.65201,0.20949829,0.0,0.0,59.706375,0.005899206,304.07605,0.0
1970-01-26 00:23:00-05:00,207.56711,0.22241852,0.0,0.0,66.18086,0.0025372207,306.53137,0.0
1970-01-26 00:24:00-05:00,212.16176,0.21780643,0.0,0.0,69.05585,0.0013767481,307.96738,0.0
1970-01-26 00:25:00-05:00,217.87186,0.22205874,0.0,0.0,69.68968,0.002327621,309.8138,0.0
1970-01-26 00:26:00-05:00,221.89757,0.24369335,0.0,0.0,71.88132,0.003174141,311.29126,0.0
1970-01-26 00:27:00-05:00,225.7874,0.27856556,0.0,0.0,70.82592,0.0049589872,308.40665,0.0
1970-01-26 00:28:00-05:00,225.7637,0.35155532,0.0,0.0,66.57698,0.006899655,306.05774,0.0
1970-01-26 00:29:00-05:00,227.03221,0.444221,0.0,0.0,60.922012,0.0,291.98236,0.0
1970-01-26 00:30:00-05:00,225.44197,0.55654854,0.0,0.0,53.993233,0.0,281.58383,0.0
1970-01-26 00:31:00-05:00,221.97583,0.62827396,0.0,0.0,44.30455,0.0,281.10828,1.589859
1970-01-26 00:32:00-05:00,222.60544,0.62827396,0.0,0.0,41.393288,0.0,279.858,1.880539
1970-01-26 00:33:00-05:00,224.50879,0.62827396,0.0,0.0,51.00479,0.0,279.20676,3.9054565
1970-01-26 00:34:00-05:00,219.88231,0.62827396,0.0,0.0,53.72844,0.0,278.77222,4.467331
1970-01-26 00:35:00-05:00,227.67456,0.62827396,0.0,0.0,48.394424,0.0,278.53442,1.7834015
1970-01-26 00:36:00-05:00,239.66689,0.62827396,0.034516573,0.0,44.974022,0.0,281.97858,2.236786
1970-01-26 00:37:00-05:00,245.34871,0.62827396,0.06967723,0.0,49.079475,0.00368765,297.10742,47.847588
1970-01-26 00:38:00-05:00,255.78558,0.62827396,0.040579796,0.0,31.709274,0.0,324.35675,226.29181
1970-01-26 00:39:00-05:00,260.21338,0.62827396,0.0,0.0,14.68132,0.0,325.41476,226.72275
1970-01-26 00:40:00-05:00,264.3579,0.62827396,0.0,0.0,8.052048,0.0,325.74094,224.19725
1970-01-26 00:41:00-05:00,268.10925,0.62827396,0.0,0.0,6.3024597,0.0,324.8028,225.53568
1970-01-26 00:42:00-05:00,273.6856,0.62827396,0.0,0.0,6.1425323,0.0,323.06583,219.70004
1970-01-26 00:43:00-05:00,280.16336,0.62827396,0.0,0.0,6.11438,0.0,323.52753,222.37125
1970-01-26 00:44:00-05:00,283.4132,0.62827396,0.0,0.0,6.2290497,0.0,322.38837,213.92897
1970-01-26 00:45:00-05:00,283.81018,0.62827396,0.02082616,0.0,6.281769,0.0,322.74103,232.23755
1970-01-26 00:46:00-05:00,286.68582,0.62827396,0.039991617,0.0,6.269165,0.0,282.32364,227.81296
1970-01-26 00:47:00-05:00,284.5768,0.62827396,0.05722761,0.0,6.2675323,0.0,280.02618,234.66812
1970-01-26 00:48:00-05:00,281.5076,0.62827396,0.06564808,0.0,6.267456,0.0,280.68756,234.00623
1970-01-26 00:49:00-05:00,278.7303,0.62827396,0.074240506,0.0,6.2674866,0.0,280.44812,232.84647
1970-01-26 00:50:00-05:00,276.5692,0.62827396,0.08574462,0.0,6.2674866,0.0,280.20212,231.64032
1970-01-26 00:51:00-05:00,274.68448,0.62827396,0.09628028,0.0,6.2674866,0.0,279.85938,231.82834
1970-01-26 00:52:00-05:00,272.7803,0.62827396,0.113631904,0.0,6.2674866,0.0,279.89047,229.90242
1970-01-26 00:53:00-05:00,270.79883,0.62827396,0.124769986,0.0,6.2674866,0.0,279.80093,229.08908
1970-01-26 00:54:00-05:00,268.53384,0.62827396,0.12306547,0.0,6.2674866,0.0,308.38672,231.71269
1970-01-26 00:55:00-05:00,266.2473,0.62827396,0.11598623,0.0,6.2674866,0.0,329.373,232.51657
1970-01-26 00:56:00-05:00,264.13403,0.62827396,0.11411923,0.0,6.2674866,0.0,325.90625,231.4997
1970-01-26 00:57:00-05:00,262.675,0.62827396,0.106959045,0.0,6.2674866,0.0,325.7165,231.51022
1970-01-26 00:58:00-05:00,261.02917,0.62827396,0.10455912,0.0,6.2674866,0.0,323.6772,229.08359
1970-01-26 00:59:00-05:00,259.512,0.62827396,0.10528827,0.0,6.2674866,0.0,323.03625,222.77512
1970-01-26 01:00:00-05:00,258.26566,0.62827396,0.10528928,0.0,6.2674866,0.0,322.64142,217.15375
1970-01-26 01:01:00-05:00,257.13492,0.62827396,0.11831474,0.0,6.2674866,0.0,322.97467,217.71646
1970-01-26 01:02:00-05:00,255.62048,0.62827396,0.13361132,0.0,6.2674866,0.0,317.19745,215.78998
1970-01-26 01:03:00-05:00,254.32852,0.62827396,0.15722096,0.0,6.2674866,0.0,280.4358,213.79257
1970-01-26 01:04:00-05:00,252.9944,0.62827396,0.18344665,0.0,6.2674866,0.0,280.29834,217.8032
1970-01-26 01:05:00-05:00,251.77414,0.62827396,0.19490308,0.0,6.2674866,0.0,280.70807,222.47845
1970-01-26 01:06:00-05:00,251.10036,0.62827396,0.19555485,0.0,6.2674866,0.0,280.8203,222.47845
1970-01-26 01:07:00-05:00,250.64328,0.62827396,0.19803292,0.0,6.2674866,0.0,280.78668,222.47845
1970-01-26 01:08:00-05:00,249.95297,0.62827396,0.1975885,0.0,6.2674866,0.0,280.48584,222.47845
1970-01-26 01:09:00-05:00,248.54298,0.62827396,0.19803637,0.0,6.2674866,0.0,280.61328,222.47845
1970-01-26 01:10:00-05:00,246.22867,0.62827396,0.20267445,0.0,6.2674866,0.0,281.48984,222.47845
1970-01-26 01:11:00-05:00,243.17036,0.62827396,0.20394534,0.0,6.2674866,0.0,323.4935,222.47845
1970-01-26 01:12:00-05:00,239.51642,0.62827396,0.20749062,0.0,6.2674866,0.0,327.41885,222.47845
1970-01-26 01:13:00-05:00,236.13644,0.62827396,0.21439415,0.0,6.2674866,0.0,325.8792,222.47845
1970-01-26 01:14:00-05:00,233.28844,0.62827396,0.20687324,0.0,6.2674866,0.0,323.77676,222.47845
1970-01-26 01:15:00-05:00,231.27023,0.62827396,0.2014147,0.0,6.2674866,0.0,323.49692,222.47845
1970-01-26 01:16:00-05:00,229.34976,0.62827396,0.19583815,0.0,6.2674866,0.0,322.0082,222.47845
1970-01-26 01:17:00-05:00,228.12224,0.62827396,0.18911618,0.0,6.2674866,0.0,322.67972,222.47845
1970-01-26 01:18:00-05:00,227.22147,0.62827396,0.18471694,0.0,6.2674866,0.0,322.70386,222.47845
1970-01-26 01:19:00-05:00,226.3332,0.62827396,0.18114686,0.0,6.2674866,0.0,302.5343,222.47845
1970-01-26 01:20:00-05:00,225.51784,0.62827396,0.1853922,0.0,6.2674866,0.0,280.8604,222.47845
1970-01-26 01:21:00-05:00,224.98506,0.62827396,0.18836552,0.0,6.2674866,0.0,280.28986,222.47845
1970-01-26 01:22:00-05:00,224.61044,0.62827396,0.18854982,0.0,6.2674866,0.0,280.2233,222.47845
1970-01-26 01:23:00-05:00,224.41273,0.62827396,0.18964976,0.0,6.2674866,0.0,280.11063,222.47845
1970-01-26 01:24:00-05:00,224.47575,0.62827396,0.1911034,0.0,6.2674866,0.0,280.19125,222.47845
1970-01-26 01:25:00-05:00,224.74106,0.62827396,0.19473785,0.0,6.2674866,0.0,280.15552,222.47845
1970-01-26 01:26:00-05:00,225.0538,0.62827396,0.19661093,0.0,6.2674866,0.0,280.72455,222.47845
1970-01-26 01:27:00-05:00,225.3641,0.62827396,0.20037752,0.0,6.2674866,0.0,289.629,222.47845
1970-01-26 01:28:00-05:00,225.656,0.62827396,0.19921738,0.0,6.2674866,0.0,328.6265,222.47845
1970-01-26 01:29:00-05:00,225.87659,0.62827396,0.19936055,0.0,6.2674866,0.0,326.53,222.47845
1970-01-26 01:30:00-05:00,225.95618,0.62827396,0.20105422,0.0,6.2674866,0.0,325.51508,222.47845
1970-01-26 01:31:00-05:00,225.90851,0.62827396,0.19719177,0.0,6.2674866,0.0,324.29462,222.47845
1970-01-26 01:32:00-05:00,225.71649,0.62827396,0.19235939,0.0,6.2674866,0.0,323.079,222.47845
1970-01-26 01:33:00-05:00,225.37148,0.62827396,0.18450153,0.0,6.2674866,0.0,322.23712,222.47845
1970-01-26 01:34:00-05:00,224.96614,0.62827396,0.17953956,0.0,6.2674866,0.0,322.61075,222.47845
1970-01-26 01:35:00-05:00,224.56668,0.62827396,0.17620444,0.0,6.2674866,0.0,324.06238,222.47845
1970-01-26 01:36:00-05:00,224.18382,0.62827396,0.17773688,0.0,6.2674866,0.0,284.81067,222.47845
1970-01-26 01:37:00-05:00,223.93475,0.62827396,0.18239766,0.0,6.2674866,0.0,280.58865,222.47845
1970-01-26 01:38:00-05:00,223.82959,0.62827396,0.18328995,0.0,6.2674866,0.0,280.12817,222.47845
1970-01-26 01:39:00-05:00,223.90936,0.62827396,0.18488503,0.0,6.2674866,0.0,280.18472,222.47845
1970-01-26 01:40:00-05:00,224.10934,0.62827396,0.18625718,0.0,6.2674866,0.0,280.3725,222.47845
1970-01-26 01:41:00-05:00,224.4316,0.62827396,0.18878192,0.0,6.2674866,0.0,280.218,222.47845
1970-01-26 01:42:00-05:00,224.81079,0.62827396,0.19233364,0.0,6.2674866,0.0,280.34924,222.47845
1970-01-26 01:43:00-05:00,225.18422,0.62827396,0.19524562,0.0,6.2674866,0.0,280.84778,222.47845
1970-01-26 01:44:00-05:00,225.52048,0.62827396,0.19799542,0.0,6.2674866,0.0,308.74506,222.47845
1970-01-26 01:45:00-05:00,225.79132,0.62827396,0.19733715,0.0,6.2674866,0.0,328.3522,222.47845
1970-01-26 01:46:00-05:00,225.9568,0.62827396,0.19864494,0.0,6.2674866,0.0,325.94196,222.47845
1970-01-26 01:47:00-05:00,225.97612,0.62827396,0.19980252,0.0,6.2674866,0.0,325.28134,222.47845
1970-01-26 01:48:00-05:00,225.86163,0.62827396,0.19425881,0.0,6.2674866,0.0,324.14154,222.47845
1970-01-26 01:49:00-05:00,225.59311,0.62827396,0.18867248,0.0,6.2674866,0.0,322.50558,222.47845
1970-01-26 01:50:00-05:00,225.17596,0.62827396,0.18085468,0.0,6.2674866,0.0,322.39105,222.47845
1970-01-26 01:51:00-05:00,224.77328,0.62827396,0.17629564,0.0,6.2674866,0.0,322.85333,222.47845
1970-01-26 01:52:00-05:00,224.3372,0.62827396,0.17404109,0.0,6.2674866,0.0,314.3486,222.47845
1970-01-26 01:53:00-05:00,223.93874,0.62827396,0.17806798,0.0,6.2674866,0.0,280.7582,222.47845
1970-01-26 01:54:00-05:00,223.68849,0.62827396,0.18105721,0.0,6.2674866,0.0,280.43802,222.47845
1970-01-26 01:55:00-05:00,223.62415,0.62827396,0.18223363,0.0,6.2674866,0.0,280.10272,222.47845
1970-01-26 01:56:00-05:00,223.72736,0.62827396,0.18594146,0.0,6.2674866,0.0,280.1131,222.47845
1970-01-26 01:57:00-05:00,223.97845,0.62827396,0.18586332,0.0,6.2674866,0.0,280.24295,222.47845
1970-01-26 01:58:00-05:00,224.33653,0.62827396,0.18811876,0.0,6.2674866,0.0,280.12766,222.47845
1970-01-26 01:59:00-05:00,224.72946,0.62827396,0.18911558,0.0,6.2674866,0.0,280.53537,222.47845
1970-01-26 02:00:00-05:00,225.11023,0.62827396,0.19182026,0.0,6.2674866,0.0,281.80157,222.47845
1970-01-26 02:01:00-05:00,225.43907,0.62827396,0.19171268,0.0,6.2674866,0.0,324.25095,222.47845
1970-01-26 02:02:00-05:00,225.71451,0.62827396,0.19041264,0.0,6.2674866,0.0,327.5329,222.47845
1970-01-26 02:03:00-05:00,225.89171,0.62827396,0.19271302,0.0,6.2674866,0.0,326.02478,222.47845
1970-01-26 02:04:00-05:00,225.92036,0.62827396,0.190687,0.0,6.2674866,0.0,324.84268,222.47845
1970-01-26 02:05:00-05:00,225.79433,0.62827396,0.18619126,0.0,6.2674866,0.0,323.55792,222.47845
1970-01-26 02:06:00-05:00,225.50813,0.62827396,0.18202823,0.0,6.2674866,0.0,322.23492,222.47845
1970-01-26 02:07:00-05:00,225.15637,0.62827396,0.17631906,0.0,6.2674866,0.0,322.86505,222.47845
1970-01-26 02:08:00-05:00,224.74435,0.62827396,0.17489862,0.0,6.2674866,0.0,323.35693,222.47845
1970-01-26 02:09:00-05:00,224.30118,0.62827396,0.17654955,0.0,6.2674866,0.0,301.69693,222.47845
1970-01-26 02:10:00-05:00,223.96005,0.62827396,0.18117929,0.0,6.2674866,0.0,280.49014,222.47845
1970-01-26 02:11:00-05:00,223.75784,0.62827396,0.18459529,0.0,6.2674866,0.0,280.2618,222.47845
1970-01-26 02:12:00-05:00,223.7364,0.62827396,0.18531865,0.0,6.2674866,0.0,280.1605,222.47845
1970-01-26 02:13:00-05:00,223.86478,0.62827396,0.18686795,0.0,6.2674866,0.0,280.16202,222.47845
1970-01-26 02:14:00-05:00,224.11298,0.62827396,0.1883322,0.0,6.2674866,0.0,280.215,222.47845
1970-01-26 02:15:00-05:00,224.44028,0.62827396,0.18936062,0.0,6.2674866,0.0,280.03537,222.47845
1970-01-26 02:16:00-05:00,224.79008,0.62827396,0.18858415,0.0,6.2674866,0.0,280.62738,222.47845
1970-01-26 02:17:00-05:00,225.13335,0.62827396,0.19225824,0.0,6.2674866,0.0,288.44714,222.47845
1970-01-26 02:18:00-05:00,225.4484,0.62827396,0.19026798,0.0,6.2674866,0.0,328.7223,222.47845
1970-01-26 02:19:00-05:00,225.69534,0.62827396,0.19055516,0.0,6.2674866,0.0,326.66324,222.47845
1970-01-26 02:20:00-05:00,225.81407,0.62827396,0.19250661,0.0,6.2674866,0.0,325.41766,222.47845
1970-01-26 02:21:00-05:00,225.80017,0.62827396,0.19047081,0.0,6.2674866,0.0,324.76025,222.47845
